search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	CAJEUG010000197.1	0.78143	851	0.0	529	1378	36850	37700	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	CAJEUG010000197.1	0.76025	805	5.8e-159	13	816	37909	38701	1047088
642	A_amphibius_blasttn_blastn	QHN51454	mtGenome	1545	CAJEUG010000197.1	0.7513	681	6.9e-18	1474	1545	38701	39382	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862380.1	0.73292	161	2.61e-16	8	167	85807884	85808044	1047088
642	A_amphibius_blasttn_blastn	QHN51456	ATP8	204	LR862380.1	0.96667	30	0.000359	150	179	136042708	136042737	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862380.1	0.72635	1078	3.55e-167	125	1187	150590383	150591402	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862380.1	0.76111	180	1.26e-26	967	1146	168356816	168356994	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862380.1	0.73389	481	2.6e-73	220	683	168356996	168357473	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862381.1	0.84956	113	1.42e-26	475	587	8768419	8768531	1047088
642	A_amphibius_blasttn_blastn	QHN51456	mtGenome	204	LR862381.1	0.7006	418	4.98e-15	8	204	35978595	35979013	1047088
642	A_amphibius_blasttn_blastn	QHN51452	ND1	955	LR862381.1	0.81905	105	1.21e-18	851	955	84250099	84250202	1047088
642	A_amphibius_blasttn_blastn	QHN51458	mtGenome	784	LR862381.1	0.8132	272	2.03e-27	1	114	159292623	159292894	1047088
642	A_amphibius_blasttn_blastn	QHN51464	CYTB	1143	LR862381.1	0.77143	980	0.0	164	1143	180101082	180102049	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.74894	470	2.56e-80	365	833	30233349	30233816	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.77381	168	3.34e-28	858	1025	30233980	30234147	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862382.1	0.78082	73	1.4e-05	166	238	51678970	51679041	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.6616	263	1.17e-08	1284	1545	76706524	76706768	1047088
