search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.5476	210	1.6e-32	41	265	21016018	21016604	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.6875	64	1.6e-32	271	336	21016934	21017121	10090
34	M_musculus_MD40m_tfx	AAN85130	ND4L	98	NC_000067	0.7391	23	9e-08	77	98	24595627	24595691	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	1.0000	292	0.0	1	292	24650616	24651491	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.9877	163	1.6e-183	352	514	24654790	24655278	10090
34	M_musculus_MD40m_tfx	AAN85131	mtGenome	459	NC_000067	0.7000	237	4.6e-34	411	459	34791859	34792570	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.8889	27	1e-11	131	156	38753801	38753879	10090
34	M_musculus_MD40m_tfx	AAN85128	COX3	261	NC_000067	0.7895	19	4.4e-05	168	186	60332453	60332509	10090
34	M_musculus_MD40m_tfx	AAN85134	CYTB	381	NC_000067	0.6457	175	1.2e-89	210	378	63710627	63711129	10090
34	M_musculus_MD40m_tfx	AAN85128	COX3	261	NC_000067	0.8242	91	3.1e-77	2	91	65460009	65460277	10090
34	M_musculus_MD40m_tfx	AAN85134	CYTB	381	NC_000067	0.6087	23	0.00047	301	323	93505708	93505776	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	0.7273	55	1.7e-26	1	54	142650883	142651067	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	0.7108	166	4e-115	49	209	142657268	142657747	10090
34	M_musculus_MD40m_tfx	AAN85129	ND3	115	NC_000067	0.6154	26	2.1e-05	53	79	159562906	159562979	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000067	0.5493	71	1e-11	242	312	172905888	172906096	10090
34	M_musculus_MD40m_tfx	AAN85130	ND4L	98	NC_000067	1.0	14	3.3e-08	83	96	175514002	175514043	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000067	0.5634	71	1.5e-17	12	81	187445029	187445235	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000067	0.9677	31	2.3e-22	60	90	188710534	188710626	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000068	0.9821	168	1.1e-172	177	344	22480042	22480545	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000068	0.5645	62	2.9e-13	538	598	26966276	26966459	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000068	0.5417	48	9.9e-08	379	426	130382795	130382939	10090
34	M_musculus_MD40m_tfx	AAN85122	ND1	318	NC_000068	0.4866	298	2e-30	1	309	141635387	141636275	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000068	0.3875	80	3.7e-06	110	187	141636797	141637028	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.5	50	3.7e-14	8	58	4372251	4372400	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.8	25	3.1e-12	168	192	27178532	27178606	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000069	0.6393	305	9.9e-70	94	408	37171052	37171981	10090
34	M_musculus_MD40m_tfx	AAN85129	ND3	115	NC_000069	0.6667	18	0.00048	77	94	84824514	84824567	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.9737	38	2e-40	178	215	94241878	94241991	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.54	50	2.3e-12	176	226	114020295	114020442	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000069	0.5385	104	9.4e-11	115	233	122006665	122006965	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000069	0.4853	68	2.2e-08	271	342	122007290	122007493	10090
34	M_musculus_MD40m_tfx	AAN85134	CYTB	381	NC_000069	0.6053	38	1.1e-07	1	38	136117670	136117783	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000069	0.4444	126	1.2e-10	305	426	136120275	136120632	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.3969	194	2.3e-16	1	195	136121973	136122528	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000069	0.4783	138	2.3e-23	155	295	136124797	136125196	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000069	0.3852	122	1.1e-08	3	120	136125696	136126049	10090
34	M_musculus_MD40m_tfx	AAN85122	mtGenome	318	NC_000070	0.7758	461	5.3e-56	151	318	9958627	9960010	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000070	0.6279	43	7.1e-22	321	363	27306988	27307116	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000070	0.8966	29	4.2e-20	232	260	44206361	44206447	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000070	0.7308	26	1.4e-09	148	173	62316774	62316851	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000070	0.9472	360	0.0	250	607	79920568	79921643	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000070	0.8485	33	1.8e-19	239	270	91391400	91391494	10090
