search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000002.1	0.86567	67	2.95e-12	1037	1103	354098	354164	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000002.1	0.73016	126	1.26e-10	1568	1693	354629	354754	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519818	ND6	501	VAHE01000002.1	0.88235	51	1.7e-08	444	494	354887	354937	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519818	ND6	501	VAHE01000002.1	0.9375	32	0.000375	209	240	355138	355169	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519809	COX1	1542	VAHE01000002.1	0.71023	176	5.85e-14	910	1085	4708299	4708467	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519813	COX3	784	VAHE01000003.1	0.85106	188	1.61e-55	149	336	3217924	3218111	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519816	ND4	1378	VAHE01000003.1	0.82456	342	2.36e-94	979	1311	3989596	3989937	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519807	ND1	957	VAHE01000005.1	0.86702	188	1.62e-56	460	647	1314401	1314588	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519815	ND4L	297	VAHE01000005.1	0.86207	58	7.93e-10	145	202	1443879	1443936	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519819	CYTB	1143	VAHE01000005.1	0.8	70	4.03e-08	33	102	2070096	2070165	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519818	ND6	501	VAHE01000005.1	0.775	80	4.88e-09	1	80	2070272	2070351	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519816	ND4	1378	VAHE01000007.1	0.74468	141	6.78e-19	1236	1376	564360	564500	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519816	ND4	1378	VAHE01000007.1	0.85106	47	0.000308	1120	1166	564570	564616	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519809	COX1	1542	VAHE01000007.1	0.84483	174	1.57e-46	415	588	3937216	3937389	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519810	COX2	682	VAHE01000008.1	0.74766	107	3.74e-12	16	122	2516373	2516476	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519807	ND1	957	VAHE01000008.1	0.88	100	1.17e-26	617	716	3902066	3902165	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519808	ND2	1044	VAHE01000008.1	0.66368	223	4.19e-20	340	562	3902950	3903172	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519809	COX1	1542	VAHE01000008.1	0.78302	106	4.8e-15	155	260	3904253	3904357	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519809	COX1	1542	VAHE01000008.1	0.80741	135	2.33e-25	502	636	3904599	3904732	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519809	COX1	1542	VAHE01000008.1	0.66667	342	2.18e-38	955	1296	3905052	3905393	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519813	COX3	784	VAHE01000008.1	0.83019	53	0.000601	34	86	4623640	4623691	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519812	ATP6	681	VAHE01000008.1	0.87037	54	2.35e-08	600	653	4623792	4623845	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000009.1	0.88158	76	3.84e-17	1635	1710	3678532	3678607	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519815	ND4L	297	VAHE01000009.1	0.76866	134	6.09e-24	64	197	3907351	3907484	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519812	ATP6	681	VAHE01000009.1	0.80645	248	1.8e-60	211	458	3907760	3908007	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000009.1	0.77049	122	1.34e-16	187	308	3908610	3908731	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000009.1	0.77228	202	6.08e-40	422	623	3908845	3909046	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000009.1	0.80597	201	7.91e-45	887	1086	3909310	3909510	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519815	ND4L	297	VAHE01000009.1	0.78448	116	5.71e-18	1	116	4792970	4793085	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519815	ND4L	297	VAHE01000011.1	0.80769	208	6.5e-49	1	208	144559	144766	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000013.1	0.77381	168	1.53e-28	103	270	980363	980530	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000013.1	0.85496	131	1.99e-33	958	1088	980909	981039	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000013.1	0.86957	69	2.42e-13	1166	1234	981117	981185	9275
644	T_cynocephalus_blasttn.out_blastn	YP_002519817	ND5	1824	VAHE01000013.1	0.75904	83	2.76e-06	1585	1667	981536	981618	9275
