search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.98529	5846	0	3911	9755	629081	634924	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.90521	211	1.03e-70	2466	2675	5850468	5850258	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.81991	211	1.79e-38	907	1117	9574629	9574829	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.78708	418	4.78e-69	4608	5022	50017092	50017505	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.96	50	0.0000000000311	12477	12526	103621198	103621150	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.94792	96	2.34e-32	8462	8557	169474158	169474063	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.78283	396	6.22e-63	12143	12536	181422785	181423178	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	1	39	0.0000000052	9563	9601	215499796	215499834	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.74509	5096	0	9771	14789	235542376	235537404	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000001	0.78791	5705	0	573	6202	237946391	237940763	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	1	53	8.58e-17	1766	1818	33767523	33767471	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.88166	169	1.06e-45	956	1124	40784957	40785117	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.94853	272	3.46e-115	6741	7012	49229899	49229628	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.83951	729	0	6270	6998	50589415	50588688	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.72959	4482	0	11589	16009	82814979	82819394	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.95378	476	0	8314	8789	87824890	87825365	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.85375	506	9.3e-141	1013	1511	94899503	94899006	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.7778	5927	0	596	6431	117021213	117027027	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.75017	2990	0	9785	12755	120212661	120215597	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.76201	11702	0	3799	15398	130271810	130283331	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.76333	4200	0	6380	10552	131383702	131379593	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.77739	2574	0	3723	6268	131386238	131383697	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.77102	987	2.55e-151	5171	6145	140217971	140217001	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.77346	4679	0	575	5185	140224224	140219662	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.81208	149	8.52e-22	2179	2325	143088862	143088717	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.80049	1619	0	575	2171	143091584	143089999	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.77778	279	8.34e-37	16295	16569	143092616	143092341	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.89888	89	8.52e-22	2760	2848	147265184	147265272	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.98485	132	2.25e-57	611	742	148881857	148881726	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.81932	1356	0	4860	6202	155264802	155263459	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.80587	443	2.79e-86	833	1268	179739740	179739305	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.76497	2706	0	10440	13131	201214981	201212296	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.79909	2205	0	596	2755	211776608	211774433	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.76738	1784	0	4854	6610	211777209	211778971	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.91824	159	1.75e-53	890	1048	226722269	226722426	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000002	0.74094	1324	2.03e-132	11797	13103	237523909	237522637	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.97436	39	0.000000242	10985	11023	25467504	25467542	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.81033	1645	0	1418	3039	40252147	40253767	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.79759	415	3.67e-75	15809	16217	43229731	43229320	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.96053	76	1.42e-24	4354	4429	68659056	68659131	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.95472	1325	0	1396	2718	96618510	96617188	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.83307	623	3.25e-160	7151	7773	120722023	120722645	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.85106	141	5.05e-29	5688	5823	152919834	152919694	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000003	0.855	400	3.49e-110	1919	2314	160947648	160948042	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.78333	180	3.06e-21	16295	16472	5404539	5404717	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.9386	342	2e-142	9338	9679	12640635	12640294	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.94079	152	8.11e-57	2899	3050	27730575	27730424	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.96774	93	5.02e-34	14981	15073	47772364	47772272	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.96183	131	8.16e-52	962	1092	55328160	55328290	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.77653	3571	0	13036	16561	64610541	64607023	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.908	250	2.16e-87	2225	2472	78008761	78008512	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.87027	185	4.91e-49	2895	3075	89731833	89732017	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.79753	810	1.51e-158	2790	3588	92701824	92702623	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.75833	240	8.52e-22	16328	16562	116296624	116296860	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.79263	2633	0	575	3165	116297741	116300309	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.85567	388	2.72e-106	2003	2388	128081782	128081405	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.76277	15070	0	664	15564	155466467	155451635	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000004	0.93714	175	2.87e-66	12250	12424	162421541	162421367	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.82927	164	1.09e-30	16408	16569	8620857	8621019	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.80972	494	7.61e-102	596	1087	8622089	8622573	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.82857	490	2.07e-117	3822	4308	60762024	60761539	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.97561	41	0.0000000187	10802	10842	73775892	73775932	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.94364	2360	0	341	2697	80652368	80650022	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.87305	3466	0	12662	16124	94567456	94570918	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.78368	1997	0	5934	7908	98411762	98409778	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.88878	8802	0	6389	15183	100054737	100045938	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.86622	299	4.68e-84	6117	6415	100055045	100054756	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.91617	167	8.11e-57	14663	14829	106553529	106553363	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.84615	975	0	574	1537	123760802	123761766	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.9406	5219	0	10269	15487	134928527	134923309	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000005	0.97674	43	0.00000000145	12147	12189	166530461	166530419	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000006	0.90909	528	0	2408	2934	61574103	61574629	9606
342	H_sapiens_mtGenome_blastn.out_blastn	NC_012920	mtGenome	16569	NC_000006	0.85841	113	1.83e-23	8716	8828	88555305	88555417	9606
