search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000001	0.9915	352	2.96e-179	605	956	629081	629432	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000001	0.98179	549	0.0	1	549	634376	634924	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000001	0.78708	418	2.92e-70	139	553	50017092	50017505	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000001	0.96	50	3.35e-12	141	190	103621150	103621198	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024030	ATP8	207	NC_000001	0.94792	96	2.53e-34	97	192	169474063	169474158	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000001	1.0	39	2.37e-10	357	395	215499796	215499834	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000002	0.94853	272	3.17e-116	838	1109	49229628	49229899	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000002	0.83951	729	0.0	367	1095	50588688	50589415	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024031	ATP6	681	NC_000002	0.96183	262	1.05e-117	2	263	87825104	87825365	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000002	0.74905	1048	3.5e-124	1	1033	117025074	117026107	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000002	0.74669	1737	0.0	64	1780	130280350	130282057	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000002	0.76296	540	3.98e-71	228	767	237522637	237523162	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000003	0.97436	39	1.97e-08	226	264	25467504	25467542	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000003	0.82712	295	2.63e-67	1248	1542	120722023	120722317	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000004	0.9386	342	9.11e-144	132	473	12640294	12640635	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024038	CYTB	1141	NC_000004	0.96774	93	3.37e-35	235	327	47772272	47772364	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000004	0.74539	1736	0.0	90	1805	155453055	155454754	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000004	0.74583	1019	2.12e-116	30	1041	155461634	155462636	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000005	0.81038	443	4.32e-93	516	956	60761585	60762024	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000005	0.97561	41	1.52e-09	43	83	73775892	73775932	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	mtGenome	1812	NC_000005	0.8760	2005	0.0	326	1812	94567456	94569460	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000005	0.78675	1510	0.0	31	1523	98410261	98411762	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000005	0.8913	1058	0.0	486	1542	100053680	100054737	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000005	0.86622	299	4.27e-85	214	512	100054756	100055045	9606
