search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.10	16356	CAJEUG010000197.1	0.78189	1866	0	10670	11253	36850	38701	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.11	16356	CAJEUG010000197.1	0.78189	1866	0	11254	12276	36850	38701	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.12	16356	CAJEUG010000197.1	0.78189	1866	0	12277	12532	36850	38701	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.06	16356	CAJEUG010000197.1	0.78279	709	6.92e-163	6778	7161	38701	39382	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.07	16356	CAJEUG010000197.1	0.78279	709	6.92e-163	7162	7474	38701	39382	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.01	16356	LR862380.1	0.74132	317	7.94e-42	1036	1350	8826291	8825985	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.15	16356	LR862380.1	0.87805	205	6.51e-62	15669	15873	85807685	85807885	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.09	16356	LR862380.1	0.73292	161	0.00000000000000317	10149	10230	85807884	85808044	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.10	16356	LR862380.1	0.73292	161	0.00000000000000317	10231	10308	85807884	85808044	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.01	16356	LR862380.1	0.83179	648	0	1438	2046	90161165	90160534	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.02	16356	LR862380.1	0.83179	648	0	2047	2082	90161165	90160534	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.15	16356	LR862380.1	0.91765	170	9.67e-60	15763	15931	145376226	145376057	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.01	16356	LR862380.1	0.8543	954	0	1496	2046	146967334	146968279	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.02	16356	LR862380.1	0.8543	954	0	2047	2444	146967334	146968279	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.05	16356	LR862380.1	0.72635	1078	3.83e-166	5429	6138	150590383	150591402	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.06	16356	LR862380.1	0.72635	1078	3.83e-166	6139	6491	150590383	150591402	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.10	16356	LR862380.1	0.76111	180	1.53e-25	11108	11253	168356994	168356816	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.11	16356	LR862380.1	0.76111	180	1.53e-25	11254	11287	168356994	168356816	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.10	16356	LR862380.1	0.73389	481	3.16e-72	10361	10824	168357473	168356996	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.15	16356	LR862380.1	0.87468	391	6.08e-132	15696	16085	169736203	169735813	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.05	16356	LR862381.1	0.84956	113	1.53e-25	5779	5891	8768531	8768419	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.04	16356	LR862381.1	0.71533	411	1.18e-39	4931	5115	27491404	27491784	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.05	16356	LR862381.1	0.71533	411	1.18e-39	5116	5336	27491404	27491784	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.15	16356	LR862381.1	0.93023	86	4.4e-26	15902	15987	29565968	29565883	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.07	16356	LR862381.1	0.69159	428	3.16e-34	7746	8171	35978595	35979013	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.01	16356	LR862381.1	0.98	50	0.00000000000047	1877	1926	54610792	54610841	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.01	16356	LR862381.1	0.87565	193	3.37e-59	1170	1362	69767637	69767449	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.00	16356	LR862381.1	0.8342	579	4.67e-165	620	1023	69768354	69767784	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.01	16356	LR862381.1	0.8342	579	4.67e-165	1024	1195	69768354	69767784	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.03	16356	LR862381.1	0.88889	180	5.01e-57	3578	3757	84250099	84250277	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.04	16356	LR862381.1	0.91463	82	2.77e-22	5034	5115	124523817	124523736	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.08	16356	LR862381.1	0.8125	272	1.03e-65	8422	8693	159292894	159292623	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.15	16356	LR862381.1	0.82566	608	1.1e-166	15433	16037	180100123	180099532	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.13	16356	LR862381.1	0.78578	1139	0	14287	14322	180102049	180100924	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.14	16356	LR862381.1	0.78578	1139	0	14323	15345	180102049	180100924	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.15	16356	LR862381.1	0.78578	1139	0	15346	15425	180102049	180100924	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.04	16356	LR862382.1	0.76923	78	0.000228	4997	5074	3644238	3644314	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.11	16356	LR862382.1	0.87778	90	5.02e-19	11513	11602	20553067	20553154	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.05	16356	LR862382.1	0.74894	470	2.77e-79	5669	6137	30233349	30233816	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.06	16356	LR862382.1	0.77381	168	3.61e-27	6162	6329	30233980	30234147	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.03	16356	LR862382.1	0.67119	295	0.000000000243	3836	4092	51678761	51679041	1047088
643	A_amphibius_mtGenetn_blastn	MN122834	mtGenome.04	16356	LR862382.1	0.67119	295	0.000000000243	4093	4129	51678761	51679041	1047088
