# add_numts2table.R supp_Table1_common_name_20220930.txt all_mtGenome_accs_class_size_20220930.tab rod_numts_hits_MD40BG_10_TFXBLNT_220930.tab new_numts_hits_MD40BG_10_TFXBLNT_220930.tab 
hit_data
[1] 45868
[1] "all_tfx: 35305; hs_tfx: 33463; fn: 0.948"
[1] "all_bg: 10563; hs_bg: 8694; fn: 0.823"
hit_data
[1] 19056
[1] "all_tfx: 8988; hs_tfx: 8019; fn: 0.892"
[1] "all_bg: 10068; hs_bg: 8435; fn: 0.838"
fivenum hs_fract
[1]  5.950 80.990 83.425 87.020 99.130
[1] 69.91 81.29 83.45 87.02 99.13
NCBI_Tax_ID	s_name	Species	Common_name	Mitochondrial_genome_accession	Nuclear_genome_accession	Nuclear_genome_size_.GB.	RefSeq.GenBank	dataset	numt_cnt	numt_len	med_len	max_len	hs_fract
1047088	A_amphibius	Arvicola amphibius	Eurasian water vole	MN122834.1	GCA_903992535.1	2.3	GenBank	rod	290	113479	161.5	4456	83.45
10068	A_cahirinus	Acomys cahirinus	Egyptian spiny mouse	NC_020758.1	GCA_004027535.1	2.31	GenBank	rod	753	193841	126	16168	87.12
28377	A_carolinensis	Anolis carolinensis	green anole	EU747728.2	GCF_000090745.1	1.8	RefSeq	vert	107	61591	241	15956	85.05
38775	A_flavipes	Antechinus flavipes	yellow-footed antechinus	NC_056379.1	GCA_016432865.1	3.19	GenBank	vert	4247	876125	121	9861	88.18
9417	A_jamaicensis	Artibeus jamaicensis	Jamaican fruit-eating bat	NC_002009.1	GCF_014825515.1	2.21	RefSeq	vert	241	93951	141	4171	83.4
8296	A_mexicanum	Ambystoma mexicanum	axolotl salamander	NC_005797.1	GCA_002915635.3	28.21	GenBank	vert	115	111727	265	11122	99.13
8496	A_mississippiensis	Alligator mississippiensis	American alligator	NC_001922.1	GCF_000281125.3	2.16	RefSeq	vert	25	5741	160	1285	80
106734	C_abingdonii	Chelonoidis abingdonii	Abingdon Island giant tortoise	NC_051472.1	GCF_003597395.1	2.3	RefSeq	vert	48	28077	123.5	9716	85.42
51338	C_canadensis	Castor canadensis	American beaver	NC_033912.1	GCF_001984765.1	2.52	RefSeq	rod	952	710462	195	16650	89.6
10029	C_griseus	Cricetulus griseus	Chinese hamster	NC_007936.1	GCA_000223135.1	2.4	RefSeq	rod	274	86780	143.5	6530	87.23
45479	C_gunnisoni	Cynomys gunnisoni	Gunnisons prairie dog	MG450794.1	GCA_011316645.1	2.67	GenBank	rod	655	387696	180	7578	82.29
34839	C_lanigera	Chinchilla lanigera	long-tailed chinchilla	NC_000884.1	GCF_000276665.1	2.39	RefSeq	rod	274	76604	161	8590	83.94
10141	C_porcellus	Cavia porcellus	domestic guinea pig	NC_000884.1	GCF_000151735.1	2.72	RefSeq	rod	910	694125	161.5	16502	86.92
8502	C_porosus	Crocodylus porosus	Australian saltwater crocodile	NC_008143.1	GCF_001723895.1	2.05	RefSeq	vert	45	7037	67	774	75.56
43321	C_sociabilis	Ctenomys sociabilis	social tuco-tuco	NC_020658.1	GCA_004027165.1	2.83	GenBank	rod	1898	379373	77	15658	98.79
33562	D_gliroides	Dromiciops gliroides	monito del monte	NC_005826.1	GCF_019393635.1	3.3	Refseq	vert	328	101347	70.5	10906	81.4
7955	D_rerio	Danio rerio	zebra fish	NC_002333.2	GCF_000002035.6	1.68	Refseq	vert	84	4014	48	119	5.95
885580	F_damarensis	Fukomys damarensis	Damara mole-rat	NC_027742.1	GCF_000743615.1	2.33	RefSeq	rod	295	73989	116	7165	76.27
9031	G_gallus	Gallus gallus	chicken	NC_053523.1	GCF_016699485.2	1.05	RefSeq	vert	37	11906	99	5275	86.49
41261	G_glis	Glis glis	fat doormouse	NC_001892.1	GCA_004027185.1	2.46	GenBank	rod	803	292056	136	9991	82.19
10181	H_glaber	Heterocephalus glaber	naked mole-rat	NC_015112.1	GCF_000247695.1	2.62	RefSeq	rod	340	95559	121.5	10545	81.18
9606	H_sapiens	Homo sapiens	human	NC_012920.1	GCF_000001405.39	3.27	RefSeq	rod/vert	1348	645592	134	14991	83.38
43179	I_tridecemlineatus	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NC_027278.1	GCF_000236235.1	2.48	RefSeq	rod	636	305713	151	6284	82.7
51337	J_jaculus	Jaculus jaculus	lesser Egyptian jerboa	NC_027278.1	GCF_000280705.1	2.84	RefSeq	rod	338	80678	133	5152	81.66
80427	L_agilis	Lacerta agilis	sand lizard	CM020436.1	GCF_009819535.1	1.39	Refseq	vert	271	96215	151	17085	88.93
29092	M_agrestis	Microtus agrestis	short-tailed field vole	NC_041250.1	GCA_001305995.1	3.12	GenBank	rod	625	120997	113	2391	82.4
