search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010000011.1	0.6439	132	6.3e-42	129	268	7184	7575	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010000052.1	0.6296	81	2.1e-09	3	94	409764	410002	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010000052.1	0.5096	312	2.4e-18	1	322	410070	410982	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010000069.1	0.7576	33	4.6e-08	499	531	151496	151594	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010000252.1	0.4691	243	1e-05	106	359	146679	147412	47230
14	M_arvalis_MD40m_tfx	AXA13172	mtGenome	174	VIIT010000320.1	0.9245	130	2.8e-34	1	57	196138	196529	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010000375.1	0.9722	36	1.6e-22	279	314	252142	252249	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010000377.1	0.7479	238	5.6e-127	27	260	113877	114579	47230
14	M_arvalis_MD40m_tfx	AXA13168	ND3	115	VIIT010000377.1	0.7561	82	8.2e-42	1	84	114653	114892	47230
14	M_arvalis_MD40m_tfx	AXA13169	ND4L	98	VIIT010000377.1	0.725	40	1.5e-12	37	82	115108	115227	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010000382.1	0.7108	204	1.2e-77	59	268	135297	135891	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010000382.1	0.7349	83	5.3e-37	91	171	135920	136166	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010000429.1	0.8125	48	1.2e-21	5	52	89186	89329	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010000446.1	0.4933	225	2.3e-06	1	241	198253	198903	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010000476.1	0.9333	30	1.8e-14	141	170	234169	234258	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010000485.1	0.4818	110	4.5e-08	11	123	115573	115898	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010000485.1	0.4455	101	2.2e-05	321	426	116974	117269	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010000485.1	0.419	105	2.3e-09	263	368	118296	118608	47230
14	M_arvalis_MD40m_tfx	AXA13169	mtGenome	98	VIIT010000557.1	0.9238	208	4.1e-15	71	98	125202	125827	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010000688.1	0.7222	36	5.2e-12	218	252	184894	184997	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010000718.1	0.5345	58	3e-08	454	511	170802	170973	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010000718.1	0.4277	166	4.3e-18	2	163	171120	171593	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010000721.1	0.4459	74	2.9e-07	102	176	161191	161412	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010000758.1	0.7759	58	1.4e-27	4	61	81657	81833	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010000768.1	0.5278	108	7.2e-20	228	332	130698	131009	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010000921.1	1.0	34	8.6e-19	152	185	101015	101116	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010000961.1	0.5556	54	1.7e-06	168	221	184582	184739	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010001122.1	0.7308	130	4.2e-56	20	149	55993	56372	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001130.1	0.9623	53	1.1e-37	72	124	134316	134474	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010001161.1	0.9059	202	2.2e-152	179	380	33421	34026	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010001186.1	0.8164	403	5.9e-109	1	410	185292	186490	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001527.1	0.4434	106	1.3e-07	19	120	124892	125199	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001527.1	0.443	158	1.3e-07	132	295	125619	126081	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010001527.1	0.4658	146	1e-15	80	221	127775	128186	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010001527.1	0.4286	203	7.9e-13	21	224	128457	129051	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010001527.1	0.4634	164	7.1e-10	132	291	136169	136646	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010001563.1	0.5059	85	6.5e-05	55	138	72420	72654	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010001571.1	0.75	28	1.5e-07	84	111	76935	77018	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001600.1	0.75	28	4.3e-06	289	315	145303	145384	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001642.1	0.6341	82	4.8e-21	271	358	146695	146930	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001642.1	0.5248	202	4.8e-21	58	271	147260	147844	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010001804.1	0.5672	67	2.7e-11	1	67	76170	76368	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001890.1	0.6957	184	3.7e-73	156	348	145552	146092	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001890.1	0.6466	116	4e-28	352	485	146465	146802	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010001890.1	0.619	42	4e-05	57	95	146823	146936	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010001890.1	0.5749	167	6.3e-09	1	185	146943	147415	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010001890.1	0.6897	87	8.5e-24	133	216	147444	147693	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010001915.1	0.9744	39	1.1e-15	2	39	72900	73012	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010001942.1	0.4696	115	2.9e-21	143	259	62243	62585	47230
14	M_arvalis_MD40m_tfx	AXA13168	ND3	115	VIIT010001942.1	0.3978	93	5.4e-07	21	111	62710	62985	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010002068.1	0.8148	27	9.9e-07	68	93	38459	38537	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010002160.1	0.7509	269	1e-155	77	344	13289	14087	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010002160.1	0.7089	79	2.2e-32	1	78	14630	14870	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010002187.1	0.9454	293	2.4e-190	27	318	137147	138023	47230
14	M_arvalis_MD40m_tfx	AXA13165	mtGenome	67	VIIT010002187.1	0.9246	137	3.8e-45	1	61	142074	142485	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010002187.1	0.8836	189	1.4e-125	410	601	142506	143068	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010002187.1	0.871	31	1.2e-12	350	380	144858	144950	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010002274.1	0.913	23	4.7e-09	217	239	81377	81445	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010002334.1	0.6571	35	1.2e-08	304	337	121336	121436	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010002392.1	0.6624	157	1.4e-30	76	257	122410	122862	47230
14	M_arvalis_MD40m_tfx	AXA13163	mtGenome	514	VIIT010002608.1	0.8116	460	7.1e-115	1	155	13156	14536	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010002890.1	0.7561	41	7.5e-11	120	160	11892	12010	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010002896.1	0.8	205	1.7e-123	94	296	55781	56385	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010002907.1	0.9848	198	3.5e-133	102	299	48697	49290	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010002992.1	0.5203	123	3.3e-23	39	161	53386	53749	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010003575.1	0.8023	354	0.0	43	395	1379	2420	47230
14	M_arvalis_MD40m_tfx	AXA13168	ND3	115	VIIT010003597.1	0.68	25	0.00047	3	27	115603	115677	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010003627.1	0.9286	28	4.2e-12	147	174	51818	51901	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010003965.1	0.7895	57	1.8e-26	12	68	57479	57645	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010004039.1	0.5155	161	5.1e-21	323	490	27478	27944	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010004291.1	0.4679	156	7.2e-16	94	246	89816	90253	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010004902.1	0.7368	133	7.6e-74	1	130	97109	97503	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010005042.1	0.619	42	1.4e-06	441	481	84597	84720	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010005153.1	0.8462	78	5.7e-45	7	85	66658	66883	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010005153.1	0.7292	48	9.4e-11	116	161	66902	67048	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010005153.1	0.775	120	6.5e-72	1	120	67208	67567	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010005203.1	0.8	25	1.9e-07	9	33	35693	35767	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010005232.1	0.4947	95	0.00012	347	443	57009	57287	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010005233.1	0.6364	55	0.00019	93	146	2029	2189	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010005341.1	0.9835	242	1.3e-216	16	257	22189	22914	47230
14	M_arvalis_MD40m_tfx	AXA13166	mtGenome	226	VIIT010005406.1	0.8696	88	3.8e-18	170	226	75041	75304	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010005483.1	0.7467	75	8.3e-35	94	167	6085	6301	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010005532.1	0.8478	46	5.2e-18	157	203	61511	61644	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010005564.1	0.8016	126	5.3e-54	153	291	88917	89286	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010005734.1	0.5385	78	5.8e-14	66	141	8064	8291	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010005734.1	0.5854	41	4e-06	277	317	8831	8953	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010005789.1	0.8228	79	2.6e-41	233	312	67759	67991	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010005991.1	0.7273	55	6e-21	300	353	71769	71927	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010006481.1	0.9688	32	4.2e-16	16	47	21011	21106	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010006495.1	0.51	100	4e-11	169	268	53730	54024	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010006505.1	0.8387	62	1.2e-20	349	420	16488	16665	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010006517.1	1.0	33	3.7e-21	223	255	74399	74497	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010006565.1	0.4576	354	1.4e-35	99	454	57697	58706	47230
14	M_arvalis_MD40m_tfx	AXA13163	mtGenome	514	VIIT010006702.1	0.8845	358	7.9e-116	1	154	19231	20304	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010006702.1	0.8043	46	5.9e-22	199	244	20815	20952	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010007254.1	0.8495	206	1.8e-132	51	261	29215	29828	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010007254.1	0.4933	75	3.7e-05	111	183	56819	57033	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010007327.1	0.8602	93	2.3e-64	1	93	54467	54745	47230
14	M_arvalis_MD40m_tfx	AXA13163	mtGenome	514	VIIT010007327.1	0.8642	739	7.1e-145	94	514	54746	56964	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010007816.1	0.9573	117	2.3e-84	127	242	60414	60765	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010008137.1	0.6066	61	9.1e-20	317	377	10912	11094	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010008958.1	0.9727	440	0.0	155	594	47612	48931	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010009014.1	0.7206	68	1.6e-26	323	389	60579	60787	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010009078.1	0.5102	49	1.8e-07	44	92	50093	50239	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010009109.1	1.0	25	5e-12	1	25	40289	40363	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010009157.1	0.4395	157	2.1e-15	1	151	17999	18435	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010009759.1	0.6656	326	1.4e-162	65	387	10961	11925	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010009759.1	0.6059	203	1.4e-71	25	225	12755	13349	47230
14	M_arvalis_MD40m_tfx	AXA13164	COX2	227	VIIT010009759.1	0.6284	183	2.1e-62	6	227	18002	18538	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010009759.1	0.6369	168	2.5e-58	5	172	32095	32595	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010009759.1	0.6335	191	1.9e-67	397	586	32624	33194	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010009759.1	0.656	250	1.8e-111	1	250	33201	33936	47230
14	M_arvalis_MD40m_tfx	AXA13169	ND4L	98	VIIT010009759.1	0.7321	56	7.7e-24	31	88	33955	34122	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010009759.1	0.6765	204	1.4e-71	23	225	35425	36028	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010009759.1	0.6147	218	3.3e-89	46	261	48378	49028	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010009790.1	0.5417	48	3.6e-09	380	426	18778	18917	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010009864.1	0.7348	230	1.3e-95	116	342	20916	21730	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010010059.1	0.6173	81	1.7e-25	4	83	25832	26066	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010010106.1	0.9279	208	2.1e-170	173	380	254	877	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010010354.1	0.7838	37	6.4e-11	149	185	53950	54060	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010010354.1	0.8333	24	2e-07	313	336	54122	54193	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010010382.1	0.3837	86	3.1e-05	40	127	58951	59208	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010010795.1	0.875	32	8.1e-16	71	102	7409	7504	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010010984.1	0.8421	57	6.7e-25	262	318	3188	3358	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010011062.1	0.9	30	2.5e-08	155	183	1735	1828	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010011503.1	0.7875	320	3.2e-85	56	379	15660	16798	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010012019.1	0.5531	226	3.3e-73	39	261	12147	12823	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010012019.1	0.6963	191	1.2e-49	23	222	31004	31567	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010012019.1	0.6612	428	5.4e-177	28	449	33211	34647	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010012019.1	0.6413	552	1.5e-160	2	552	34815	36438	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010012019.1	0.6296	162	2.1e-54	5	171	36764	37249	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010012206.1	0.7778	63	5e-25	537	599	47275	47459	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010012206.1	0.7966	536	0.0	1	540	47646	49231	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010012955.1	0.4356	264	1.2e-08	20	296	37091	37848	47230
14	M_arvalis_MD40m_tfx	AXA13161	ND1	318	VIIT010013099.1	0.8712	132	1.7e-42	9	138	42777	43278	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010013099.1	0.75	208	2.5e-50	389	599	46736	47343	47230
14	M_arvalis_MD40m_tfx	AXA13162	ND2	344	VIIT010013163.1	0.8077	26	0.0001	111	135	15831	15906	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010013449.1	0.4207	164	4.9e-06	330	494	34159	34626	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010016218.1	0.9412	170	8.3e-126	340	509	34772	35281	47230
14	M_arvalis_MD40m_tfx	AXA13163	COX1	514	VIIT010016846.1	0.4795	73	0.00042	100	171	20159	20363	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010017416.1	0.6833	60	7.2e-24	201	261	18432	18611	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010017533.1	0.6571	105	5.8e-36	473	579	5862	6168	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010018192.1	0.9961	254	6e-208	264	517	10941	11702	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010019266.1	0.5561	223	2.1e-71	39	261	11438	12113	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010019266.1	0.6562	160	2.2e-24	23	193	28931	29394	47230
14	M_arvalis_MD40m_tfx	AXA13169	mtGenome	98	VIIT010019266.1	0.6390	382	1.2e-29	31	98	30733	31880	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010019293.1	0.5952	84	8.6e-25	18	102	20166	20413	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010019801.1	0.9424	139	5.5e-110	1	138	11142	11554	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010019801.1	0.7632	38	6.6e-14	563	600	12156	12269	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010020367.1	0.7407	27	9.6e-05	83	108	1635	1711	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010020472.1	0.6214	206	1.2e-72	23	225	18563	19162	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010020507.1	0.6031	131	2.4e-45	316	443	198	578	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010020507.1	0.5844	243	1.6e-70	339	586	581	1295	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010020507.1	0.6108	167	5.5e-51	5	171	1327	1823	47230
14	M_arvalis_MD40m_tfx	AXA13164	mtGenome	227	VIIT010020507.1	0.6077	549	4.8e-52	86	227	28187	29834	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010020528.1	0.6171	316	1.8e-136	75	385	14996	15929	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010020528.1	0.668	256	5.7e-118	7	261	16047	16804	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010020528.1	0.6197	71	5.4e-17	156	226	16825	17033	47230
14	M_arvalis_MD40m_tfx	AXA13166	mtGenome	226	VIIT010020528.1	0.5854	350	4.2e-38	1	149	17321	18369	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010020929.1	0.6606	165	6.4e-66	9	172	12419	12912	47230
14	M_arvalis_MD40m_tfx	AXA13169	ND4L	98	VIIT010020929.1	0.6786	28	4.9e-07	71	98	16209	16292	47230
14	M_arvalis_MD40m_tfx	AXA13169	ND4L	98	VIIT010020929.1	0.6438	73	3.9e-29	3	74	16478	16692	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010020929.1	0.6425	207	2.6e-83	21	225	17969	18588	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010021299.1	0.5814	215	4.7e-78	50	261	5918	6559	47230
14	M_arvalis_MD40m_tfx	AXA13168	ND3	115	VIIT010021299.1	0.623	61	3.6e-25	3	63	6635	6817	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010021299.1	0.6763	207	1.8e-84	23	225	24355	24961	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010021299.1	0.6111	36	1.2e-06	423	458	26260	26367	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010021299.1	0.6299	581	1.7e-147	2	586	26460	28181	47230
14	M_arvalis_MD40m_tfx	AXA13172	ND6	174	VIIT010021299.1	0.6228	114	1.7e-40	58	172	28210	28549	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010021609.1	0.5667	30	0.00018	225	253	14188	14275	47230
14	M_arvalis_MD40m_tfx	AXA13170	ND4	459	VIIT010021686.1	0.9664	119	1.8e-89	222	339	18154	18511	47230
14	M_arvalis_MD40m_tfx	AXA13170	mtGenome	459	VIIT010022288.1	0.8213	533	3.2e-138	262	459	18054	19654	47230
14	M_arvalis_MD40m_tfx	AXA13163	mtGenome	514	VIIT010022288.1	0.8579	235	8.2e-08	492	514	19654	20359	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010022760.1	0.8112	445	0.0	156	599	11426	12754	47230
14	M_arvalis_MD40m_tfx	AXA13173	CYTB	380	VIIT010022760.1	0.8451	355	9.3e-109	27	380	13432	14732	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010023168.1	0.6641	131	4.6e-49	90	217	2	382	47230
14	M_arvalis_MD40m_tfx	AXA13166	ATP6	226	VIIT010023353.1	0.5882	34	3.4e-05	23	55	14721	14820	47230
14	M_arvalis_MD40m_tfx	AXA13167	COX3	261	VIIT010023353.1	0.6042	96	7.1e-34	166	260	14839	15124	47230
14	M_arvalis_MD40m_tfx	AXA13171	ND5	601	VIIT010023560.1	0.4353	170	3.4e-19	246	413	9664	10153	47230
