search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000001	0.99148	352	2.96e-179	605	956	629081	629432	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000001	0.98179	549	0	1	549	634376	634924	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000001	0.78708	418	2.92e-70	139	553	50017092	50017505	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000001	0.96	50	0.00000000000335	141	190	103621198	103621150	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024030	ATP8	207	NC_000001	0.94792	96	2.53e-34	97	192	169474158	169474063	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000001	1	39	0.000000000237	357	395	215499796	215499834	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000002	0.94853	272	3.17e-116	838	1109	49229899	49229628	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000002	0.83951	729	0	367	1095	50589415	50588688	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024031	ATP6	681	NC_000002	0.96183	262	1.05e-117	2	263	87825104	87825365	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000002	0.74905	1048	3.5e-124	1	1033	117025074	117026107	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000002	0.74669	1737	0	64	1780	130280350	130282057	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000002	0.76296	540	3.98e-71	228	767	237523162	237522637	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000003	0.97436	39	0.0000000197	226	264	25467504	25467542	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000003	1	29	0.000203	276	304	68670526	68670554	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000003	0.82712	295	2.63e-67	1248	1542	120722023	120722317	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000004	0.9386	342	9.11e-144	132	473	12640635	12640294	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024038	CYTB	1141	NC_000004	0.96774	93	3.37e-35	235	327	47772364	47772272	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000004	0.74539	1736	0	90	1805	155454754	155453055	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000004	0.74583	1019	2.12e-116	30	1041	155462636	155461634	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000005	0.81038	443	4.32e-93	516	956	60762024	60761585	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000005	0.97561	41	0.00000000152	43	83	73775892	73775932	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000005	0.8703	1488	0	326	1812	94567456	94568940	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024037	ND6	525	NC_000005	0.89231	520	0	7	525	94569460	94568941	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000005	0.78675	1510	0	31	1523	98411762	98410261	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000005	0.8913	1058	0	486	1542	100054737	100053680	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000005	0.86622	299	4.27e-85	214	512	100055045	100054756	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024038	CYTB	1141	NC_000005	0.92443	741	0	1	741	134924049	134923309	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024033	ND3	346	NC_000005	0.89706	136	2.66e-41	211	346	134928527	134928392	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024031	ATP6	681	NC_000006	0.85841	113	7.21e-25	190	302	88555305	88555417	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000006	0.77627	590	4.86e-94	305	890	153669195	153669780	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000007	0.75226	1659	0	170	1805	57171138	57172768	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000007	0.75062	1620	0	170	1760	57194430	57196009	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000007	0.93636	110	3.23e-37	621	730	68736525	68736633	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024031	ATP6	681	NC_000008	0.85782	211	5.34e-56	140	350	20551196	20551406	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000008	0.76491	570	2.24e-76	44	608	33015308	33015863	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024038	CYTB	1141	NC_000008	0.74208	1136	1.08e-119	14	1136	67582691	67581584	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000008	0.75203	1230	7.42e-157	1	1223	67586959	67585747	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000008	0.79221	231	8.23e-35	1	231	67587732	67587510	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024038	CYTB	1141	NC_000008	0.9881	84	1.57e-33	115	198	99495953	99495870	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000009	0.77536	1518	0	14	1520	5096679	5098178	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000009	0.85714	77	0.000000000000484	523	599	78810954	78810878	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000009	0.75682	843	4.62e-108	136	967	80565931	80565103	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000010	0.74498	847	2.2e-91	1	837	19747822	19748650	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024036	ND5	1812	NC_000010	0.7553	1557	0	73	1613	36434412	36432876	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000011	0.96319	163	5.65e-69	739	901	73510661	73510823	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000011	0.77689	1497	0	33	1523	103405804	103404328	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000012	0.98876	89	2.17e-36	485	573	41363723	41363635	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024032	COX3	784	NC_000013	0.92	75	2.34e-20	313	387	40768348	40768422	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024027	ND2	1042	NC_000013	0.9187	123	3.05e-40	639	761	55971756	55971634	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000014	0.92034	703	0	1	703	32484800	32484098	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000016	0.76471	918	8.78e-135	41	952	3370865	3369955	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024029	COX2	684	NC_000017	0.83952	673	0	1	673	22528993	22529661	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024033	ND3	346	NC_000017	0.97059	68	1.63e-23	85	152	43997716	43997783	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000017	0.96019	628	0	915	1542	53105733	53106360	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000017	0.93617	47	0.00000000171	1000	1046	80617622	80617576	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024037	ND6	525	NC_000018	0.9359	156	2.43e-58	138	293	2842200	2842354	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024029	COX2	684	NC_000018	0.96923	195	3.98e-87	390	584	47853437	47853243	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024026	ND1	956	NC_000020	0.95349	43	0.00000000377	194	236	13167312	13167354	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000021	0.87817	197	7.41e-58	92	288	45376384	45376188	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000022	1	47	0.000000000000017	278	324	35885672	35885718	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024038	CYTB	1141	NC_000023	0.87805	82	2.07e-17	126	207	84404007	84403926	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000023	0.93067	750	0	650	1399	126471704	126472452	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024034	ND4L	297	NC_000023	0.93789	161	6.07e-62	137	297	126472731	126472891	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024035	ND4	1378	NC_000023	0.9375	400	4.37e-169	1	400	126472885	126473284	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NC_000024	1	66	4.65e-25	596	661	9141896	9141961	9606
226	H_sapiens_blastn_blastnm_blastn	YP_003024028	COX1	1542	NT_187630	1	47	0.000000000000017	278	324	206670	206716	9606
248	M_musculus_blastn_blastnm_blastn	AAN85131	ND4	1378	NC_000067	1	876	0	1	876	24651491	24650616	10090
248	M_musculus_blastn_blastnm_blastn	AAN85124	COX1	1545	NC_000067	0.99793	483	0	1063	1545	24655269	24654787	10090
248	M_musculus_blastn_blastnm_blastn	AAN85128	COX3	784	NC_000067	0.81618	272	5.16e-56	2	273	65460279	65460009	10090
248	M_musculus_blastn_blastnm_blastn	AAN85131	ND4	1378	NC_000067	0.74949	495	7.18e-52	141	628	142657265	142657748	10090
248	M_musculus_blastn_blastnm_blastn	AAN85123	ND2	1038	NC_000067	0.93103	87	5.56e-27	184	270	188710620	188710534	10090
248	M_musculus_blastn_blastnm_blastn	AAN85123	ND2	1038	NC_000068	0.96673	511	0	528	1038	22480546	22480036	10090
248	M_musculus_blastn_blastnm_blastn	AAN85131	ND4	1378	NC_000068	1	31	0.0000099	1348	1378	69186010	69185980	10090
248	M_musculus_blastn_blastnm_blastn	AAN85127	ATP6	681	NC_000069	0.94828	116	2.72e-43	530	645	94241993	94241878	10090
248	M_musculus_blastn_blastnm_blastn	AAN85132	ND5	1824	NC_000070	0.92315	1080	0	747	1824	79920567	79921646	10090
248	M_musculus_blastn_blastnm_blastn	AAN85134	CYTB	1144	NC_000071	0.8316	576	6.71e-146	571	1144	7326299	7326873	10090
248	M_musculus_blastn_blastnm_blastn	AAN85123	ND2	1038	NC_000071	0.97059	102	2.53e-40	937	1038	60200061	60200162	10090
248	M_musculus_blastn_blastnm_blastn	AAN85131	ND4	1378	NC_000074	0.9697	33	0.0000356	1147	1179	30455476	30455444	10090
248	M_musculus_blastn_blastnm_blastn	AAN85125	COX2	684	NC_000075	0.80341	646	2.4e-133	45	684	93057350	93056708	10090
248	M_musculus_blastn_blastnm_blastn	AAN85124	COX1	1545	NC_000075	0.79943	698	2.57e-136	848	1545	93058393	93057720	10090
248	M_musculus_blastn_blastnm_blastn	AAN85132	ND5	1824	NC_000076	0.89231	65	0.00000000000281	1005	1069	59998243	59998180	10090
248	M_musculus_blastn_blastnm_blastn	AAN85125	COX2	684	NC_000077	0.89308	159	7.54e-49	526	684	44278096	44277938	10090
248	M_musculus_blastn_blastnm_blastn	AAN85124	COX1	1545	NC_000077	0.90701	656	0	889	1544	90429963	90429308	10090
248	M_musculus_blastn_blastnm_blastn	AAN85123	ND2	1038	NC_000078	0.91071	56	0.0000000000204	492	547	4127358	4127303	10090
248	M_musculus_blastn_blastnm_blastn	AAN85132	ND5	1824	NC_000079	0.95183	955	0	705	1659	85275634	85274681	10090
248	M_musculus_blastn_blastnm_blastn	AAN85132	ND5	1824	NC_000084	0.88889	279	9.02e-92	329	607	3638871	3639149	10090
248	M_musculus_blastn_blastnm_blastn	AAN85131	ND4	1378	NC_000084	0.84564	149	5.71e-33	1190	1338	22506321	22506173	10090
248	M_musculus_blastn_blastnm_blastn	AAN85127	ATP6	681	NC_000084	0.93194	191	2.61e-73	364	554	65970358	65970548	10090
248	M_musculus_blastn_blastnm_blastn	AAN85128	COX3	784	NC_000084	0.82456	114	1.17e-17	619	732	75138360	75138251	10090
248	M_musculus_blastn_blastnm_blastn	AAN85133	ND6	519	NC_000086	0.94444	36	0.0000465	4	38	62358863	62358898	10090
257	R_norvegicus_blastn_blastnm_blastn	YP_665631	COX1	1545	NC_005101	0.90099	101	1.14e-25	1	98	71038485	71038390	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665629	ND1	955	NC_005101	0.9901	101	4.06e-43	611	711	110305626	110305726	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665639	ND5	1830	NC_005101	0.95556	45	0.000000000496	597	641	140916244	140916288	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665638	ND4	1378	NC_005102	0.84499	529	2.44e-126	839	1308	20791520	20792037	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665639	ND5	1830	NC_005102	0.975	40	0.0000000231	279	317	93258575	93258536	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665630	ND2	1039	NC_005103	0.92282	298	2.42e-110	755	1039	84953117	84953407	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665634	ATP6	681	NC_005104	0.92647	136	1.71e-45	552	681	6372141	6372274	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665638	ND4	1378	NC_005104	1	827	0	1	827	6373843	6374669	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665629	ND1	955	NC_005105	0.89276	718	0	67	746	139168069	139167379	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665632	COX2	684	NC_005107	0.91304	115	2.91e-33	1	113	178835	178729	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665631	COX1	1545	NC_005107	0.89313	1179	0	19	1103	181718	180552	10116
257	R_norvegicus_blastn_blastnm_blastn	YP_665631	COX1	1545	NC_005107	0.99787	470	0	1	470	181864	182332	10116
