search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.5476	210	1.6e-32	41	265	21016018	21016604	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.6875	64	1.6e-32	271	336	21016934	21017121	10090
34	M_musculus_MD40m_tfx	AAN85130	ND4L	98	NC_000067	0.7391	23	0.00000009	77	98	24595691	24595627	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	1	292	0	1	292	24651491	24650616	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.9877	163	1.6e-183	352	514	24655278	24654790	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	0.7959	49	4.6e-34	411	459	34791859	34792005	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000067	0.6612	121	2.1e-59	1	121	34792203	34792570	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000067	0.8889	27	0.00000000001	131	156	38753879	38753801	10090
34	M_musculus_MD40m_tfx	AAN85128	COX3	261	NC_000067	0.7895	19	0.000044	168	186	60332509	60332453	10090
34	M_musculus_MD40m_tfx	AAN85134	CYTB	381	NC_000067	0.6457	175	1.2e-89	210	378	63710627	63711129	10090
34	M_musculus_MD40m_tfx	AAN85128	COX3	261	NC_000067	0.8242	91	3.1e-77	2	91	65460277	65460009	10090
34	M_musculus_MD40m_tfx	AAN85134	CYTB	381	NC_000067	0.6087	23	0.00047	301	323	93505776	93505708	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	0.7273	55	1.7e-26	1	54	142650883	142651067	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000067	0.7108	166	4e-115	49	209	142657268	142657747	10090
34	M_musculus_MD40m_tfx	AAN85129	ND3	115	NC_000067	0.6154	26	0.000021	53	79	159562979	159562906	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000067	0.5493	71	0.00000000001	242	312	172905888	172906096	10090
34	M_musculus_MD40m_tfx	AAN85130	ND4L	98	NC_000067	1	14	0.000000033	83	96	175514043	175514002	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000067	0.5634	71	1.5e-17	12	81	187445029	187445235	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000067	0.9677	31	2.3e-22	60	90	188710626	188710534	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000068	0.9821	168	1.1e-172	177	344	22480545	22480042	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000068	0.5645	62	0.00000000000029	538	598	26966276	26966459	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000068	0.5417	48	0.000000099	379	426	130382795	130382939	10090
34	M_musculus_MD40m_tfx	AAN85122	ND1	318	NC_000068	0.4866	298	2e-30	1	309	141635387	141636275	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000068	0.3875	80	0.0000037	110	187	141636797	141637028	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.5	50	0.000000000000037	8	58	4372400	4372251	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.8	25	0.0000000000031	168	192	27178532	27178606	10090
34	M_musculus_MD40m_tfx	AAN85132	ND5	607	NC_000069	0.6393	305	9.9e-70	94	408	37171052	37171981	10090
34	M_musculus_MD40m_tfx	AAN85129	ND3	115	NC_000069	0.6667	18	0.00048	77	94	84824514	84824567	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.9737	38	2e-40	178	215	94241991	94241878	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.54	50	0.0000000000023	176	226	114020295	114020442	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000069	0.5385	104	0.000000000094	115	233	122006665	122006965	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000069	0.4853	68	0.000000022	271	342	122007290	122007493	10090
34	M_musculus_MD40m_tfx	AAN85134	CYTB	381	NC_000069	0.6053	38	0.00000011	1	38	136117783	136117670	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000069	0.4444	126	0.00000000012	305	426	136120632	136120275	10090
34	M_musculus_MD40m_tfx	AAN85127	ATP6	226	NC_000069	0.3969	194	2.3e-16	1	195	136122528	136121973	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000069	0.4783	138	2.3e-23	155	295	136125196	136124797	10090
34	M_musculus_MD40m_tfx	AAN85124	COX1	514	NC_000069	0.3852	122	0.000000011	3	120	136126049	136125696	10090
34	M_musculus_MD40m_tfx	AAN85122	ND1	318	NC_000070	0.7605	167	5.3e-56	151	318	9958627	9959127	10090
34	M_musculus_MD40m_tfx	AAN85123	ND2	345	NC_000070	0.7873	221	2.2e-147	1	249	9959351	9960010	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000070	0.6279	43	7.1e-22	321	363	27306988	27307116	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000070	0.8966	29	4.2e-20	232	260	44206447	44206361	10090
34	M_musculus_MD40m_tfx	AAN85131	ND4	459	NC_000070	0.7308	26	0.0000000014	148	173	62316774	62316851	10090
