search_id	tag	canon_acc	common_name	qlen	s_acc	percid	alen	expect	qbegin	qend	lbegin	lend	taxon_id
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	CAJEUG010000197.1	0.78143	851	0	529	1378	36850	37700	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	CAJEUG010000197.1	0.76025	805	5.8e-159	13	816	37909	38701	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	CAJEUG010000197.1	0.90278	72	6.9e-18	1474	1545	38701	38772	1047088
642	A_amphibius_blasttn_blastn	QHN51455	COX2	684	CAJEUG010000197.1	0.72946	499	6.98e-77	1	487	38909	39382	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862380.1	0.73292	161	2.61e-16	8	167	85807884	85808044	1047088
642	A_amphibius_blasttn_blastn	QHN51456	ATP8	204	LR862380.1	0.96667	30	0.000359	150	179	136042708	136042737	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862380.1	0.72635	1078	3.55e-167	125	1187	150590383	150591402	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862380.1	0.76111	180	1.26e-26	967	1146	168356994	168356816	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862380.1	0.73389	481	2.6e-73	220	683	168357473	168356996	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862381.1	0.84956	113	1.42e-26	475	587	8768531	8768419	1047088
642	A_amphibius_blasttn_blastn	QHN51456	ATP8	204	LR862381.1	0.71357	199	0.00000000000000498	8	204	35978595	35978788	1047088
642	A_amphibius_blasttn_blastn	QHN51457	ATP6	681	LR862381.1	0.69118	272	6.96e-20	1	272	35978747	35979013	1047088
642	A_amphibius_blasttn_blastn	QHN51452	ND1	955	LR862381.1	0.81905	105	1.21e-18	851	955	84250099	84250202	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862381.1	0.85088	114	2.03e-27	1	114	159292736	159292623	1047088
642	A_amphibius_blasttn_blastn	QHN51457	ATP6	681	LR862381.1	0.78616	159	4.11e-29	523	681	159292894	159292736	1047088
642	A_amphibius_blasttn_blastn	QHN51464	CYTB	1143	LR862381.1	0.77143	980	0	164	1143	180102049	180101082	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.74894	470	2.56e-80	365	833	30233349	30233816	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.77381	168	3.34e-28	858	1025	30233980	30234147	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862382.1	0.78082	73	0.000014	166	238	51678970	51679041	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.6616	263	0.0000000117	1284	1545	76706524	76706768	1047088
642	A_amphibius_blasttn_blastn	QHN51457	ATP6	681	LR862382.1	0.8797	133	1.99e-39	549	681	91243544	91243676	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862382.1	0.83401	735	0	1	734	91243676	91244410	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862382.1	0.67442	731	5.56e-55	99	825	96601128	96601825	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862382.1	0.85339	457	1.51e-146	905	1361	97432813	97432371	1047088
642	A_amphibius_blasttn_blastn	QHN51464	CYTB	1143	LR862382.1	0.875	80	1.45e-18	472	551	112383027	112383106	1047088
642	A_amphibius_blasttn_blastn	QHN51464	CYTB	1143	LR862382.1	0.83607	244	7.02e-67	697	940	124725694	124725937	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862382.1	0.76119	201	1.65e-31	1169	1369	128302850	128303048	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862382.1	0.77062	776	2.63e-163	1	771	128303240	128304002	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862382.1	0.74922	961	0	854	1812	128304020	128304932	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862382.1	0.79101	445	2.69e-103	492	936	128967431	128966989	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862382.1	0.79171	989	0	820	1807	158428908	158427927	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862382.1	0.79491	629	4.46e-154	200	828	158431400	158430774	1047088
642	A_amphibius_blasttn_blastn	QHN51455	COX2	684	LR862382.1	0.89583	48	0.000000748	604	651	165535428	165535474	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862382.1	0.92308	1768	0	45	1812	175974138	175972372	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862382.1	0.88333	60	0.0000000000926	1	57	175974400	175974341	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862382.1	0.93534	897	0	482	1378	175975495	175974599	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862382.1	0.918	500	0	1	498	175976144	175975645	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862382.1	0.98276	116	3.91e-49	669	784	175977038	175976923	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862382.1	0.94591	684	0	1	684	175977999	175977316	1047088
642	A_amphibius_blasttn_blastn	QHN51452	ND1	955	LR862382.1	0.89855	69	1.79e-16	79	147	179015988	179015920	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862383.1	0.76147	109	0.0000000000112	226	334	6369376	6369477	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862383.1	0.7973	74	0.0000000479	1	74	31318939	31319012	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862383.1	0.81481	81	0.0000000000787	865	945	50261280	50261359	1047088
642	A_amphibius_blasttn_blastn	QHN51460	ND4L	297	LR862383.1	0.75	172	5.51e-23	26	197	51982865	51982695	1047088
642	A_amphibius_blasttn_blastn	QHN51459	ND3	348	LR862383.1	0.70303	330	9.12e-34	20	348	51983277	51982961	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862383.1	0.77469	719	4.44e-156	80	784	51984073	51983359	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862383.1	0.70414	169	0.00000000000165	838	1006	68969509	68969341	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862383.1	0.91892	37	0.000257	274	310	77384262	77384226	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862383.1	0.73661	448	2.74e-67	444	890	90988758	90989201	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862383.1	0.9	40	0.0000737	1402	1441	90989944	90989983	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862383.1	0.65441	544	1.37e-29	1	540	90990625	90990140	1047088
642	A_amphibius_blasttn_blastn	QHN51457	ATP6	681	LR862383.1	0.69685	254	2e-20	410	659	90990896	90990647	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862383.1	0.74757	1236	0	1	1229	160418528	160417366	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862384.1	0.82192	73	0.000000000635	478	548	29265297	29265369	1047088
642	A_amphibius_blasttn_blastn	QHN51452	ND1	955	LR862384.1	0.72109	147	0.0000000000138	49	195	34676483	34676338	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862384.1	0.73529	306	4.88e-43	727	1032	68245687	68245988	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862384.1	0.83648	159	8.82e-40	501	659	76326546	76326704	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862384.1	0.86614	127	4.2e-34	340	466	92669686	92669560	1047088
642	A_amphibius_blasttn_blastn	QHN51461	ND4	1378	LR862384.1	0.88636	44	0.0000188	581	624	116999548	116999591	1047088
642	A_amphibius_blasttn_blastn	QHN51457	ATP6	681	LR862385.1	0.87709	179	2.96e-56	323	501	638677	638499	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862385.1	0.75705	461	1.84e-88	1	461	8987087	8986639	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862385.1	0.74478	431	4.27e-69	607	1035	8987876	8987453	1047088
642	A_amphibius_blasttn_blastn	QHN51463	ND6	525	LR862385.1	0.81437	167	7.84e-37	1	167	72092948	72092785	1047088
642	A_amphibius_blasttn_blastn	QHN51464	CYTB	1143	LR862385.1	0.8187	877	0	1	877	72093023	72093887	1047088
642	A_amphibius_blasttn_blastn	QHN51462	ND5	1812	LR862385.1	0.67045	264	0.0000000000926	1422	1685	123174844	123175102	1047088
642	A_amphibius_blasttn_blastn	QHN51458	COX3	784	LR862385.1	0.75	96	0.0000000203	656	751	127786476	127786571	1047088
642	A_amphibius_blasttn_blastn	QHN51460	ND4L	297	LR862385.1	0.89333	75	3.48e-19	1	75	156850255	156850329	1047088
642	A_amphibius_blasttn_blastn	QHN51455	COX2	684	LR862385.1	0.79054	444	2.6e-101	1	444	158208053	158207612	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862385.1	0.83243	185	1.17e-46	1361	1545	158208376	158208192	1047088
642	A_amphibius_blasttn_blastn	QHN51454	COX1	1545	LR862385.1	0.7945	1382	0	1	1376	158209919	158208565	1047088
642	A_amphibius_blasttn_blastn	QHN51453	ND2	1035	LR862386.1	0.91262	206	3.74e-76	220	425	1216668	1216873	1047088
