NCBI_Tax_ID	s_name	Species	Common_name	Mitochondrial_genome_accession	Nuclear_genome_accession	Nuclear_genome_size_.GB.	RefSeq.GenBank	dataset	numt_cnt	numt_len
1047088	A_amphibius	Arvicola amphibius	Eurasian water vole	MN122834	GCA_903992535.1	2.3	GenBank	rod	290	113479
10068	A_cahirinus	Acomys cahirinus	Egyptian spiny mouse	NC_020758	GCA_004027535.1	2.31	GenBank	rod	753	193841
28377	A_carolinensis	Anolis carolinensis	green anole	EU747728.2	GCF_000090745.1	1.8	RefSeq	vert	107	61591
38775	A_flavipes	Antechinus flavipes	yellow-footed antechinus	NC_056379.1	GCA_016432865.1	3.19	GenBank	vert	4247	876125
9417	A_jamaicensis	Artibeus jamaicensis	Jamaican fruit-eating bat	NC_002009.1	GCF_014825515.1	2.21	RefSeq	vert	241	93951
8296	A_mexicanum	Ambystoma mexicanum	axolotl salamander	NC_005797.1	GCA_002915635.3	28.21	GenBank	vert	115	111727
8496	A_mississippiensis	Alligator mississippiensis	American alligator	NC_001922.1	GCF_000281125.3	2.16	RefSeq	vert	25	5741
8839	A_platyrhynchos	Anas platyrhynchos	mallard	NC_009684.1	GCF_015476345.1	1.19	RefSeq	vert	72	63655
106734	C_abingdonii	Chelonoidis abingdonii	Abingdon Island giant tortoise	NC_051472.1	GCF_003597395.1	2.3	RefSeq	vert	48	28077
51338	C_canadensis	Castor canadensis	American beaver	NC_033912	GCF_001984765.1	2.52	RefSeq	rod	952	710462
932674	C_cornix	Corvus cornix cornix	hooded crow	NC_024698.1	GCF_000738735.5	1.03	RefSeq	vert	55	8162
10029	C_griseus	Cricetulus griseus	Chinese hamster	NC_007936	GCA_000223135.1	2.4	RefSeq	rod	274	86780
45479	C_gunnisoni	Cynomys gunnisoni	Gunnisons prairie dog	MG450794	GCA_011316645.1	2.67	GenBank	rod	655	387696
34839	C_lanigera	Chinchilla lanigera	long-tailed chinchilla	NC_021386	GCF_000276665.1	2.39	RefSeq	rod	274	76604
10141	C_porcellus	Cavia porcellus	domestic guinea pig	NC_000884	GCF_000151735.1	2.72	RefSeq	rod	910	694125
8502	C_porosus	Crocodylus porosus	Australian saltwater crocodile	NC_008143.1	GCF_001723895.1	2.05	RefSeq	vert	45	7037
43321	C_sociabilis	Ctenomys sociabilis	social tuco-tuco	NC_020658	GCA_004027165.1	2.83	GenBank	rod	1898	379373
33562	D_gliroides	Dromiciops gliroides	monito del monte	CM033468.1	GCF_019393635.1	3.3	Refseq	vert	328	101347
7955	D_rerio	Danio rerio	zebra fish	NC_002333.2	GCF_000002035.6	1.68	Refseq	vert	84	4014
885580	F_damarensis	Fukomys damarensis	Damara mole-rat	NC_027742	GCF_000743615.1	2.33	RefSeq	rod	295	73989
41261	G_glis	Glis glis	fat doormouse	NC_001892	GCA_004027185.1	2.46	GenBank	rod	803	292056
10181	H_glaber	Heterocephalus glaber	naked mole-rat	NC_015112	GCF_000247695.1	2.62	RefSeq	rod	340	95559
9606	H_sapiens	Homo sapiens	human	NC_012920	GCF_000001405.39	3.27	RefSeq	rod/vert	1348	645592
43179	I_tridecemlineatus	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	NC_027278	GCF_000236235.1	2.48	RefSeq	rod	636	305713
51337	J_jaculus	Jaculus jaculus	lesser Egyptian jerboa	NC_005314	GCF_000280705.1	2.84	RefSeq	rod	338	80678
